Brand,Model,Year,Category,Rating,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Engine stroke,Gearbox,Bore (mm),Stroke (mm),Fuel capacity (lts),Fuel system,Fuel control,Cooling system,Transmission type,Dry weight (kg),Wheelbase (mm),Seat height (mm),Front brakes,Rear brakes,Front tire,Rear tire,Front suspension,Rear suspension,Color options,category_group,horsepower,torque_nm,displacement_cc,weight_lbs,seat_height_in,fuel_capacity_gal,rating_clean,power_to_weight,hp_per_cc,quality_score,value_score,beginner_score,performance_score,touring_score,commuting_score,utility_base,cluster
honda,sh125i,2022,Scooter,NA,124.9,12.9,12,Single cylinder,four-stroke,Automatic,53.5,55.5,7,Injection. PGM-FI,Single Overhead Cams (SOHC),Liquid,Belt,123,1350,799,Single disc. ABS. Two-piston calipers.,Single disc. ABS. Single-piston caliper.,100/80-16,120/80-16,33mm telescopic fork,Dual-damper unit swingarm,"Mat Pearl Cool White, Mat Rock Gray, Pearl Nightstar Black, Timeless Gray Metallic, Pearl Splendor Red",Scooter,12.9,12,124.9,271.16826,31.45669291338583,1.849204,3.5,0.04757193928227441,0.10328262610088071,70,9.130025743168133,100,6.039800078994337,40,90,58.50995001974859,8
honda,sh125i special,2012,Scooter,NA,125,13,11.5,Single cylinder,four-stroke,Automatic,52.4,57.8,7.5,Injection. PGM-FI,Single Overhead Cams (SOHC),Liquid,Belt,120,1335,785,"Single disc. Hydraulic disc with combined three-piston caliper, drilled rotor and resin mould pads",Single disc,100/80-16,120/80-16,"33mm telescopic fork, 90mm travel ","Dual damper unit swingarm, 82mm axle travel ",NA,Scooter,13,11.5,125,264.5544,30.905511811023622,1.9812900000000002,3.5,0.04913923185552764,0.104,70,9.204588369668137,100,6.264458784853281,40,90,58.56611469621332,8
honda,sh125i sporty,2012,Scooter,NA,125,13,11.5,Single cylinder,four-stroke,Automatic,52.4,57.8,7.5,Injection. PGM-FI,NA,Liquid,Belt,120,1335,785,"Single disc. Hydraulic disc with single-piston caliper, Comb Brake and sintered metal pads","Single disc. Hydraulic disc with Combined three-piston caliper, drilled rotor and resin mould pads",100/80-16,120/80-16,33mm telescopic fork,Dual damper unit swingarm,Pearl white/black,Scooter,13,11.5,125,264.5544,30.905511811023622,1.9812900000000002,3.5,0.04913923185552764,0.104,70,9.204588369668137,100,6.264458784853281,40,90,58.56611469621332,8
honda,sh150i,2020,Scooter,3,153,14.7,14,Single cylinder,four-stroke,Automatic,57.3,57.9,7.5,Injection. Programmed Fuel Injection (PGM-FI),Overhead Cams (OHC),Liquid,Belt,129,1340,799,Single disc,Single disc,100/80-16,120/80-16,Telescopic fork,Swingarm with dual hydraulic shocks,"Pearl Red, Dark Blue",Scooter,14.7,14,153,284.39597999999995,31.45669291338583,1.9812900000000002,3,0.05168849433103802,0.09607843137254901,60,8.381233960498914,100,6.629874928856408,40,90,57.1574687322141,2
honda,sh150i,2022,Scooter,NA,153,16.6,14.9,Single cylinder,four-stroke,Automatic,60,55.5,7,Injection. Programmed Fuel Injection (PGM-FI),Overhead Cams (OHC),Liquid,Belt,126,1340,799,Single disc,Single disc,100/80-16,120/80-16,Telescopic fork,Swingarm with dual hydraulic shocks,"Mat Pearl Cool White, Mat Rock Gray, 
Pearl Nightstar Black, Timeless Gray Metallic, Pearl Splendor Red",Scooter,16.6,14.9,153,277.78211999999996,31.45669291338583,1.849204,3.5,0.059759065846282704,0.1084967320261438,70,9.67197107058268,100,7.786726038278456,40,90,58.946681509569615,8
honda,sh150i special,2011,Scooter,2.8,153,15.6,14,Single cylinder,four-stroke,Automatic,58,57.8,7.5,Injection. PGM-FI electronic fuel injection ,Single Overhead Cams (SOHC),Liquid,Belt,129,1335,785,Single disc,Single disc,100/80-16,120/80-16,33mm telescopic fork,Dual damper unit swingarm,Champagne Bronze Metallic/Castagna Brown R,Scooter,15.6,14,153,284.39597999999995,30.905511811023622,1.9812900000000002,2.8,0.05485309602477504,0.10196078431372549,56,8.992635749485961,100,7.083494969687874,40,90,56.67087374242197,2
honda,sh150i sporty,2011,Scooter,3.2,153,15.6,14,Single cylinder,four-stroke,Automatic,58,57.8,7.5,Injection. PGM-FI,NA,Liquid,NA,129,1335,785,Single disc. 3-piston caliper,Single disc,100/80-16,120/80-16,33mm telescopic fork,Dual damper unit swingarm,Pearl white/black,Scooter,15.6,14,153,284.39597999999995,30.905511811023622,1.9812900000000002,3.2,0.05485309602477504,0.10196078431372549,64,8.992635749485961,100,7.083494969687874,40,90,57.87087374242197,8
honda,sh300i,2009,Scooter,3.8,279.1,26.8,26,Single cylinder,four-stroke,NA,72,68.5,9,Injection. PGM-FI electronic fuel injection ,Single Overhead Cams (SOHC),Liquid,Belt,161.8,1420,785,Single disc,Single disc,110/70-(16,130/70-(16,"35mm telescopic fork, 102mm axle travel ","Dual-damper unit swingarm, 95mm axle travel ","Wine red, gray, silver, beige, black",Scooter,26.8,26,279.1,356.707516,30.905511811023622,2.377548,3.8,0.07513158203260287,0.096022930849158,76,8.375465330219448,100,9.990251819712997,40,90,60.39756295492825,8
honda,sh300i,2010,Scooter,4,279.1,26.8,26,Single cylinder,four-stroke,NA,72,68.5,9,Injection. PGM-FI electronic fuel injection ,Single Overhead Cams (SOHC),Liquid,Belt,161.8,1420,785,Single disc,Single disc,110/70-(16,130/70-(16,"35mm telescopic fork, 102mm axle travel ","Dual-damper unit swingarm, 95mm axle travel ",NA,Scooter,26.8,26,279.1,356.707516,30.905511811023622,2.377548,4,0.07513158203260287,0.096022930849158,80,8.375465330219448,100,9.990251819712997,40,90,60.99756295492825,8
honda,sh300i,2011,Scooter,3.6,279.1,26.8,26,Single cylinder,four-stroke,NA,72,68.5,9,Injection. PGM-FI electronic fuel injection ,Single Overhead Cams (SOHC),Liquid,Belt,161.8,1420,785,Single disc,Single disc,110/70-(16,130/70-(16,"35mm telescopic fork, 102mm axle travel ","Dual-damper unit swingarm, 95mm axle travel ",NA,Scooter,26.8,26,279.1,356.707516,30.905511811023622,2.377548,3.6,0.07513158203260287,0.096022930849158,72,8.375465330219448,100,9.990251819712997,40,90,59.797562954928246,8
